"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"1","2024-03-20",745444,88.9,2306,5.74,2.49587,0.097,0.272,0.36,88.2,32.1428571428571,2.32558139534884,"San Diego Padres","Los Angeles Dodgers",2,5,99
"2","2024-03-20",745444,92.3,2531,6.57,1.9673,3.793,0.164,0.285,86.4,39.1304347826087,6.06060606060606,"San Diego Padres","Los Angeles Dodgers",2,5,99
"3","2024-03-21",746175,88.1,2181,5.88,2.3984,-7.529,0.47,0.408,89.9,40.5405405405405,7.69230769230769,"Los Angeles Dodgers","San Diego Padres",11,15,97
"4","2024-03-21",746175,88.8,2455,5.63,2.6423,-4.777,0.425,0.421,88.1,47.0588235294118,6,"Los Angeles Dodgers","San Diego Padres",11,15,97
"5","2024-03-28",746089,90.2,2362,6.03,2.30671,-0.454,0.326,0.323,85.5,37.037037037037,6,"Miami Marlins","Pittsburgh Pirates",5,6,113
"6","2024-03-28",746089,89.6,2451,6.6,2.26464,2.301,0.231,0.276,85.7,28.5714285714286,2.17391304347826,"Miami Marlins","Pittsburgh Pirates",5,6,113
"7","2024-03-28",747060,88.7,2209,6.09,2.25506,-3.969,0.391,0.407,86.9,36.6666666666667,9.75609756097561,"Baltimore Orioles","Los Angeles Angels",11,3,98
"8","2024-03-28",747060,89.6,2554,6.53,2.41703,2.382,0.173,0.161,87.6,42.8571428571428,3.2258064516129,"Baltimore Orioles","Los Angeles Angels",11,3,98
"9","2024-03-28",746418,89.6,2356,6.23,2.68947,-2.475,0.369,0.332,88.5,31.8181818181818,2.38095238095238,"Houston Astros","New York Yankees",4,5,102
"10","2024-03-28",746418,90.5,2319,6.26,1.91935,-0.556,0.36,0.349,90.6,45.1612903225806,2.5,"Houston Astros","New York Yankees",4,5,102
"11","2024-03-28",745039,90.5,2212,6.43,2.27976,1.635,0.272,0.313,91.7,42.3076923076923,5.12820512820513,"Texas Rangers","Chicago Cubs",4,3,93
"12","2024-03-28",745039,88.2,2253,6.44,2.35981,-0.503,0.34,0.338,89.6,40,5,"Texas Rangers","Chicago Cubs",4,3,93
"13","2024-03-28",745687,86.9,2187,6.21,2.75749,-2.465,0.393,0.343,90.7,46.4285714285714,2.4390243902439,"Oakland Athletics","Cleveland Guardians",0,8,100
"14","2024-03-28",745687,87.8,2219,6.72,2.33347,3.945,0.148,0.199,90.7,35.2941176470588,0,"Oakland Athletics","Cleveland Guardians",0,8,100
